nome,points,ranking,details,kimono,category,belt,division,gender
Thalison Vitorino Soares,534,1,https://ibjjf.com/athletes/thalison-soares-4b85cd0d60b5,ranking-geral-gi,adult,black,rooster,male
Lucas dos Santos Pinheiro,261,2,https://ibjjf.com/athletes/lucas-pinheiro,ranking-geral-gi,adult,black,rooster,male
Samuel David Marquez,165,3,https://ibjjf.com/athletes/samuel-marquez,ranking-geral-gi,adult,black,rooster,male
Everton Celio de Souza Teixeira,162,4,https://ibjjf.com/athletes/everton-teixeira,ranking-geral-gi,adult,black,rooster,male
Welerson Gonçalves da Silva,147,5,https://ibjjf.com/athletes/welerson-silva,ranking-geral-gi,adult,black,rooster,male
Luciano Alex da Cunha Vieira,129,6,https://ibjjf.com/athletes/luciano-vieira,ranking-geral-gi,adult,black,rooster,male
Oziel Santos de Carvalho,118,7,https://ibjjf.com/athletes/oziel-carvalho,ranking-geral-gi,adult,black,rooster,male
Lucas de Souza Castro,108,8,https://ibjjf.com/athletes/lucas-castro-bd7e9e261a9b,ranking-geral-gi,adult,black,rooster,male
Carlos Alberto Oliveira da Silva,107,9,https://ibjjf.com/athletes/carlos-silva-08a7e43a3669,ranking-geral-gi,adult,black,rooster,male
Frank Cespedes,104,10,https://ibjjf.com/athletes/frank-cespedes,ranking-geral-gi,adult,black,rooster,male
Emerson Cassio Monteiro Da Silva,204,1,https://ibjjf.com/athletes/emerson-silva-8582a02637ad,ranking-geral-gi,master,black,rooster,male
Cícero Lívio Ribeiro S. Paiva,189,2,https://ibjjf.com/athletes/cicero-paiva,ranking-geral-gi,master,black,rooster,male
André Barbosa da Silva Moura,144,3,https://ibjjf.com/athletes/andre-moura-4a792fd5674f,ranking-geral-gi,master,black,rooster,male
Eduardo Barboza da Silva,132,4,https://ibjjf.com/athletes/eduardo-silva-7c8b1eb758ed,ranking-geral-gi,master,black,rooster,male
Osamah Ali Ali Almarwai,126,5,https://ibjjf.com/athletes/osamah-almarwai,ranking-geral-gi,master,black,rooster,male
Carlos Alberto Florez,108,6,https://ibjjf.com/athletes/carlos-florez,ranking-geral-gi,master,black,rooster,male
Mauro Leopoldo Lima de Freitas,81,7,https://ibjjf.com/athletes/mauro-freitas,ranking-geral-gi,master,black,rooster,male
Deeysson Borges Cardoso,72,8,https://ibjjf.com/athletes/deeysson-cardoso,ranking-geral-gi,master,black,rooster,male
Dustin M. Ordinario,72,8,https://ibjjf.com/athletes/dustin-ordinario,ranking-geral-gi,master,black,rooster,male
